,experiment
G389_Watkins07_AVR_rh2932_B_D3-SIV_RNA1_Lib1_GL104_S78_nohmrRNA_noglobinLog,51732000
G367_Watkins07_Unvax_rh2527_B_D14-SIV_RNA1_Lib1_GL105_S76_nohmrRNA_noglobinLog,47208103
G365_Watkins07_Unvax_rh2527_B_D7-SIV_RNA1_Lib1_GL105_S82_nohmrRNA_noglobinLog,56350487
G368_Watkins07_Unvax_rh2756_B_D0-SIV_RNA1_Lib1_GL102_S3_nohmrRNA_noglobinLog,28543134
G369_Watkins07_Unvax_rh2756_B_D3-SIV_RNA1_Lib1_GL102_S9_nohmrRNA_noglobinLog,34005948
G370_Watkins07_Unvax_rh2756_B_D7-SIV_RNA1_Lib1_GL104_S9_nohmrRNA_noglobinLog,38418179
G373_Watkins07_Unvax_rh2810_B_D0-SIV_RNA1_Lib1_GL105_S86_nohmrRNA_noglobinLog,38279776
G372_Watkins07_Unvax_rh2756_B_D14-SIV_RNA1_Lib1_GL104_S48_nohmrRNA_noglobinLog,43196250
G371_Watkins07_Unvax_rh2756_B_D10-SIV_RNA1_Lib1_GL105_S68_nohmrRNA_noglobinLog,51395217
G216_Watkins07_AVR_rh3006_B_D168_RNA1_Lib1_GL102_S11_nohmrRNA_noglobinLog,33638276
G375_Watkins07_Unvax_rh2810_B_D7-SIV_RNA1_Lib1_GL104_S20_nohmrRNA_noglobinLog,36546371
G376_Watkins07_Unvax_rh2810_B_D10-SIV_RNA1_Lib1_GL102_S63_nohmrRNA_noglobinLog,34047822
G374_Watkins07_Unvax_rh2810_B_D3-SIV_RNA1_Lib1_GL104_S15_nohmrRNA_noglobinLog,36866395
G378_Watkins07_Unvax_rh2848_B_D0-SIV_RNA1_Lib1_GL104_S29_nohmrRNA_noglobinLog,33689492
G379_Watkins07_Unvax_rh2848_B_D3-SIV_RNA1_Lib1_GL102_S17_nohmrRNA_noglobinLog,32353907
G377_Watkins07_Unvax_rh2810_B_D14-SIV_RNA1_Lib1_GL102_S56_nohmrRNA_noglobinLog,38481230
G380_Watkins07_Unvax_rh2848_B_D7-SIV_RNA1_Lib1_GL104_S32_nohmrRNA_noglobinLog,35409696
G392_Watkins07_AVR_rh2932_B_D14-SIV_RNA1_Lib1_GL102_S90_nohmrRNA_noglobinLog,34759849
