,experiment
G332_Watkins07_AVR_r16007_B_D3-SIV_RNA1_Lib1_GL102_S95_nohmrRNA_noglobinLog,41834783
G336_Watkins07_Unvax_r17082_B_D-4-SIV_RNA1_Lib1_GL104_S28_nohmrRNA_noglobinLog,40586697
G387_Watkins07_Unvax_rh2861_B_D14-SIV_RNA1_Lib1_GL104_S76_nohmrRNA_noglobinLog,42765010
G335_Watkins07_AVR_r16007_B_D14-SIV_RNA1_Lib1_GL104_S81_nohmrRNA_noglobinLog,53100030
G337_Watkins07_Unvax_r17082_B_D10-SIV_RNA1_Lib1_GL104_S55_nohmrRNA_noglobinLog,46815686
G214_Watkins07_AVR_rh2932_B_D168_RNA1_Lib1_GL102_S7_nohmrRNA_noglobinLog,39778600
G352_Watkins07_Unvax_r18066_B_D13-SIV_RNA1_Lib1_GL104_S1_nohmrRNA_noglobinLog,37940684
G338_Watkins07_Unvax_r17100_B_D0-SIV_RNA1_Lib1_GL102_S47_nohmrRNA_noglobinLog,31624004
G351_Watkins07_Unvax_r18066_B_D10-SIV_RNA1_Lib1_GL102_S104_nohmrRNA_noglobinLog,44662047
G340_Watkins07_Unvax_r17100_B_D7-SIV_RNA1_Lib1_GL105_S74_nohmrRNA_noglobinLog,49746873
G339_Watkins07_Unvax_r17100_B_D4-SIV_RNA1_Lib1_GL104_S19_nohmrRNA_noglobinLog,47788706
G388_Watkins07_AVR_rh2932_B_D0-SIV_RNA1_Lib1_GL102_S57_nohmrRNA_noglobinLog,34815684
G341_Watkins07_Unvax_r17100_B_D10-SIV_RNA1_Lib1_GL102_S16_nohmrRNA_noglobinLog,41178154
G342_Watkins07_Unvax_r17100_B_D14-SIV_RNA1_Lib1_GL102_S43_nohmrRNA_noglobinLog,37767031
G215_Watkins07_AVR_rh2943_B_D168_RNA1_Lib1_GL104_S42_nohmrRNA_noglobinLog,35765124
G353_Watkins07_Unvax_rh2494_B_D0-SIV_RNA1_Lib1_GL102_S55_nohmrRNA_noglobinLog,38200748
G354_Watkins07_Unvax_rh2494_B_D3-SIV_RNA1_Lib1_GL104_S40_nohmrRNA_noglobinLog,36883200
G355_Watkins07_Unvax_rh2494_B_D7-SIV_RNA1_Lib1_GL102_S39_nohmrRNA_noglobinLog,39773726
G358_Watkins07_Unvax_rh2504_B_D0-SIV_RNA1_Lib1_GL105_S94_nohmrRNA_noglobinLog,49039911
G356_Watkins07_Unvax_rh2494_B_D11-SIV_RNA1_Lib1_GL105_S61_nohmrRNA_noglobinLog,54854572
G357_Watkins07_Unvax_rh2494_B_D14-SIV_RNA2_Lib1_GL102_S74_nohmrRNA_noglobinLog,43323072
G359_Watkins07_Unvax_rh2504_B_D3-SIV_RNA1_Lib1_GL102_S78_nohmrRNA_noglobinLog,35661286
G390_Watkins07_AVR_rh2932_B_D7-SIV_RNA1_Lib1_GL102_S46_nohmrRNA_noglobinLog,32072622
G360_Watkins07_Unvax_rh2504_B_D7-SIV_RNA1_Lib1_GL105_S90_nohmrRNA_noglobinLog,44308969
G361_Watkins07_Unvax_rh2504_B_D10-SIV_RNA1_Lib1_GL104_S80_nohmrRNA_noglobinLog,48964936
G362_Watkins07_Unvax_rh2504_B_D14-SIV_RNA1_Lib1_GL104_S8_nohmrRNA_noglobinLog,45020682
G364_Watkins07_Unvax_rh2527_B_D3-SIV_RNA1_Lib1_GL104_S63_nohmrRNA_noglobinLog,47753366
G391_Watkins07_AVR_rh2932_B_D10-SIV_RNA1_Lib1_GL105_S81_nohmrRNA_noglobinLog,48039120
