file	# read pairs	# concordant once	% concordant once	# concordant more than once	% concordant more than once	# of aligned discordant	% of aligned disdorant	# of mates condordant once	% of mates concordant once	# of mates concordant more than once	% of mates concordant more than once	overall % alignment
../logs/rRNA_globinfilter/G307_Watkins07_Unvax_r14010_B_D3-SIV_RNA1_Lib2_GL105_S92_rRNA_globinfilter.log	35701697	9064	0.03	138569	0.39	2766	0.01	99759	0.14	151676	0.21	0.77
../logs/rRNA_globinfilter/G308_Watkins07_Unvax_r14010_B_D7-SIV_RNA1_Lib1_GL104_S44_rRNA_globinfilter.log	37292818	5445	0.01	50515	0.14	3736	0.01	108353	0.15	143229	0.19	0.50
../logs/rRNA_globinfilter/G309_Watkins07_Unvax_r14010_B_D10-SIV_RNA1_Lib1_GL104_S57_rRNA_globinfilter.log	45731549	6558	0.01	51357	0.11	3909	0.01	107274	0.12	134148	0.15	0.40
../logs/rRNA_globinfilter/G310_Watkins07_Unvax_r14010_B_D14-SIV_RNA1_Lib1_GL102_S99_rRNA_globinfilter.log	44385539	7237	0.02	57427	0.13	4962	0.01	121223	0.14	152241	0.17	0.46
../logs/rRNA_globinfilter/G311_Watkins07_AVR_r14065_B_D0-SIV_RNA1_Lib1_GL105_S95_rRNA_globinfilter.log	46793860	6762	0.01	56877	0.12	4405	0.01	109253	0.12	139428	0.15	0.41
../logs/rRNA_globinfilter/G312_Watkins07_AVR_r14065_B_D4-SIV_RNA1_Lib1_GL102_S96_rRNA_globinfilter.log	40335266	7802	0.02	67035	0.17	4989	0.01	123874	0.15	161085	0.20	0.55
../logs/rRNA_globinfilter/G313_Watkins07_AVR_r14065_B_D7-SIV_RNA1_Lib1_GL102_S80_rRNA_globinfilter.log	47253040	7907	0.02	67775	0.14	5205	0.01	121404	0.13	152363	0.16	0.46
../logs/rRNA_globinfilter/G314_Watkins07_AVR_r14065_B_D10-SIV_RNA1_Lib1_GL102_S102_rRNA_globinfilter.log	48316338	8148	0.02	62967	0.13	4924	0.01	123510	0.13	154270	0.16	0.44
../logs/rRNA_globinfilter/G315_Watkins07_AVR_r14065_B_D14-SIV_RNA1_Lib1_GL105_S77_rRNA_globinfilter.log	53378608	6728	0.01	65966	0.12	3786	0.01	87083	0.08	121341	0.11	0.34
../logs/rRNA_globinfilter/G316_Watkins07_Unvax_r14095_B_D0-SIV_RNA1_Lib1_GL102_S75_rRNA_globinfilter.log	37881690	5930	0.02	47268	0.12	3993	0.01	104406	0.14	132791	0.18	0.46
../logs/rRNA_globinfilter/G317_Watkins07_Unvax_r14095_B_D3-SIV_RNA1_Lib1_GL104_S49_rRNA_globinfilter.log	41110310	6831	0.02	60836	0.15	4487	0.01	120447	0.15	157189	0.19	0.51
../logs/rRNA_globinfilter/G318_Watkins07_Unvax_r14095_B_D7-SIV_RNA1_Lib1_GL105_S62_rRNA_globinfilter.log	51764156	7477	0.01	56499	0.11	5047	0.01	121535	0.12	158789	0.15	0.40
../logs/rRNA_globinfilter/G319_Watkins07_Unvax_r14095_B_D10-SIV_RNA1_Lib1_GL102_S82_rRNA_globinfilter.log	42730109	6799	0.02	51784	0.12	4435	0.01	98689	0.12	124658	0.15	0.41
../logs/rRNA_globinfilter/G320_Watkins07_Unvax_r14095_B_D14-SIV_RNA1_Lib1_GL104_S103_rRNA_globinfilter.log	39901686	9975	0.02	75506	0.19	5216	0.01	138655	0.17	162544	0.20	0.60
../logs/rRNA_globinfilter/G321_Watkins07_Unvax_r15057_B_D0-SIV_RNA1_Lib1_GL104_S104_rRNA_globinfilter.log	41047286	5429	0.01	44290	0.11	3905	0.01	103198	0.13	132488	0.16	0.42
../logs/rRNA_globinfilter/G322_Watkins07_Unvax_r15057_B_D4-SIV_RNA1_Lib1_GL102_S8_rRNA_globinfilter.log	44555577	8816	0.02	96061	0.22	6852	0.02	174900	0.20	240300	0.27	0.72
../logs/rRNA_globinfilter/G323_Watkins07_Unvax_r15057_B_D7-SIV_RNA1_Lib1_GL102_S103_rRNA_globinfilter.log	41146434	8045	0.02	62035	0.15	5192	0.01	118768	0.14	143890	0.18	0.50
../logs/rRNA_globinfilter/G324_Watkins07_Unvax_r15057_B_D10-SIV_RNA1_Lib1_GL104_S17_rRNA_globinfilter.log	46741122	6543	0.01	49884	0.11	4368	0.01	108389	0.12	132469	0.14	0.39
../logs/rRNA_globinfilter/G325_Watkins07_Unvax_r15057_B_D14-SIV_RNA1_Lib1_GL102_S69_rRNA_globinfilter.log	38419863	4364	0.01	45909	0.12	3481	0.01	74652	0.10	107668	0.14	0.38
../logs/rRNA_globinfilter/G326_Watkins07_Unvax_r15093_B_D0-SIV_RNA1_Lib1_GL102_S87_rRNA_globinfilter.log	40748187	7733	0.02	61229	0.15	5707	0.01	114020	0.14	139944	0.17	0.49
../logs/rRNA_globinfilter/G327_Watkins07_Unvax_r15093_B_D3-SIV_RNA1_Lib1_GL102_S6_rRNA_globinfilter.log	77544283	14362	0.02	131147	0.17	10159	0.01	235608	0.15	314124	0.20	0.56
